merchant_details.business_type,merchant_details.entity_type,merchant_details.state,merchant_details.credit_score,merchant_details.months_in_business,merchant_details.requested_amount,merchant_details.avg_monthly_revenue,lender_offer.lender_name,lender_offer.funding_amount,lender_offer.payment_amount,lender_offer.factor_rate,lender_offer.rtr,lender_offer.terms,lender_offer.term_type
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,Fundworks ,1438.889,175000.0,1.48,259000.0,180,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,*API SUB* - Lendr,633.33,100000.0,1.52,152000.0,241,daily
Pest Control,Corporation,AZ,658,360,100000.0,134309.1925,Pirs Capital,4374.4,171000.0,1.32,225720.0,52,weekly
--landscaping,LLC,FL,0,197,0.0,142579.81625,Quicksilver Capital,7668.0,54000.0,1.42,76680.0,10,daily
Landscaping,LLC,MI,710,292,100000.0,93333.33333333333,LLSV,349.0,25000.0,1.47,36750.0,106,daily
Landscaping,LLC,MI,710,292,100000.0,93333.33333333333,Splash Advance - **NO 1ST POSITIONS**,183.003,14260.0,1.54,21960.4,120,daily
Transportation/Trucking/Logistics/Freight Services,LLC,TX,688,133,300000.0,740833.3162499999,*API SUB* - Bitty Advance,1480.0,150000.0,1.45,217500.0,147,daily
Construction,Corporation,,624,0,100000.0,588775.5575,Gfe,3899.0,567000.0,1.449,821583.0,211,daily
Construction,Corporation,,624,0,100000.0,588775.5575,Torro.,1118.0,90000.0,1.49,134100.0,120,daily
Construction,Corporation,,624,0,100000.0,588775.5575,EAdvance,624.583,50000.0,1.499,74950.0,120,daily
Construction,Corporation,,624,0,100000.0,588775.5575,Cobalt Funding,1267.007,125000.0,1.49,186250.0,147,daily
Construction,Corporation,,624,0,100000.0,588775.5575,Merchant Marketplace,5587.5,90000.0,1.49,134100.0,24,weekly
Construction,Corporation,,624,0,100000.0,588775.5575,Gfe,2789.33,385000.0,1.449,557865.0,200,daily
Construction,Corporation,,624,0,100000.0,588775.5575,Spartan Capital,1050.0,30000.0,1.47,44100.0,42,daily
--handyman,Sole proprietorship,NY,0,0,0.0,34873.666666666664,*API SUB* - Lendini,74.25,7000.0,1.4,9800.0,132,daily
--handyman,Sole proprietorship,NY,0,0,0.0,34873.666666666664,Quicksilver Capital,73.5,3000.0,1.47,4410.0,60,daily
-health_care_facilities,LLC,,0,0,0.0,151144.33333333334,Breakout Capital,9707.547,350000.0,1.47,514500.0,53,weekly
-health_care_facilities,LLC,,0,0,0.0,151144.33333333334,*API SUB* - Rapid Advance,600.0,150000.0,1.44,216000.0,360,daily
Dentists,Corporation,CA,712,92,200000.0,353663.6325,Mulligan Funding ,7843.15,400000.0,1.4,560000.0,72,daily
Dentists,Corporation,CA,712,92,200000.0,353663.6325,Libertas,2063.5,400000.0,1.3,520000.0,252,daily
Dentists,Corporation,CA,712,92,200000.0,353663.6325,IDEA FINANCIAL ,2652.56,168000.0,1.22987,206618.16,78,weekly
Dentists,Corporation,CA,712,92,200000.0,353663.6325,*API SUB* - Kapitus ,1833.0,70000.0,1.36,95200.0,52,weekly
Dentists,Corporation,CA,712,92,200000.0,353663.6325,*API SUB* - Kapitus ,5620.0,300000.0,1.46,438000.0,78,daily
Dentists,Corporation,CA,712,92,200000.0,353663.6325,Libertas,740.28,143500.0,1.3,186550.0,252,daily
Healthcare,LLC,PA,706,205,500000.0,235410.04375,*API SUB* - Kapitus ,3898.0,200000.0,1.35,270000.0,70,daily
Healthcare,LLC,PA,706,205,500000.0,235410.04375,Kapitus,3898.0,200000.0,1.35,270000.0,70,weekly
Retail,Corporation,FL,545,194,100000.0,45623.7325,Cashable Funding,530.0,20000.0,1.499,29980.0,57,daily
Retail,Corporation,FL,545,194,100000.0,45623.7325,*API SUB* - Forward Financing,355.0,40000.0,1.42,56800.0,160,daily
Retail,Corporation,FL,545,194,100000.0,45623.7325,Merchant Marketplace,1628.571,30000.0,1.52,45600.0,28,weekly
